,time,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.13736263736263737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013736263736263738,0.04343787994736785,0.04065934065934066,-0.013186813186813187
2,2,0.0,0.0,0.13736263736263737,0.0,0.13736263736263737,0.0,0.0,0.0,0.0,0.0,0.027472527472527476,0.05791717326315714,0.06336996336996337,-0.00842490842490842
3,3,0.0,0.0,0.13736263736263737,0.0,0.13736263736263737,0.0,0.13736263736263737,0.0,0.0,0.0,0.041208791208791215,0.06635245762907253,0.08233447052249747,8.311189508496131e-05
4,4,0.0,0.0,0.13736263736263737,0.13736263736263737,0.13736263736263737,0.0,0.13736263736263737,0.0,0.0,0.0,0.05494505494505495,0.07093376091954977,0.09891025545654789,0.01097985443356201
5,5,0.0,0.0,0.13736263736263737,0.13736263736263737,0.13736263736263737,0.0,0.13736263736263737,0.13736263736263737,0.0,0.13736263736263737,0.08241758241758242,0.07093376091954977,0.12638278292907534,0.038452381906089475
6,6,0.0,0.0,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.0,0.13736263736263737,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.1510989010989011,0.12027404337512544,0.22564552550970432,0.07655227668809786
7,7,0.0,0.13736263736263737,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.0,0.13736263736263737,0.27472527472527475,0.41208791208791207,0.27472527472527475,0.1923076923076923,0.13270491525814507,0.2745590509351048,0.11005633368027978
8,8,0.0,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.0,0.13736263736263737,0.5494505494505495,0.41208791208791207,0.27472527472527475,0.23351648351648352,0.17193208201024346,0.3400810919899007,0.12695187504306632
9,9,0.0,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.5494505494505495,0.41208791208791207,0.27472527472527475,0.260989010989011,0.1511682602492599,0.35468406940231084,0.16729395257571117
10,10,0.13736263736263737,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.13736263736263737,0.41208791208791207,0.6868131868131868,0.41208791208791207,0.27472527472527475,0.3021978021978021,0.1688561255914448,0.4068559131309229,0.19753969126468135
11,11,0.13736263736263737,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.41208791208791207,0.41208791208791207,0.6868131868131868,0.5494505494505495,0.27472527472527475,0.34340659340659335,0.17435377989615175,0.45147218578037035,0.23534100103281635
12,12,0.13736263736263737,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.41208791208791207,0.41208791208791207,0.6868131868131868,0.6868131868131868,0.27472527472527475,0.3571428571428571,0.19640669038028585,0.47887698504510545,0.23540872924060874
13,13,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.13736263736263737,0.27472527472527475,0.5494505494505495,0.5494505494505495,0.6868131868131868,0.6868131868131868,0.27472527472527475,0.3983516483516484,0.19905737288721756,0.5217286862927671,0.2749746104105296
14,14,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.27472527472527475,0.5494505494505495,0.5494505494505495,0.6868131868131868,0.6868131868131868,0.5494505494505495,0.4395604395604396,0.18084631555065475,0.5516501472240006,0.32747073189687864
15,15,0.41208791208791207,0.27472527472527475,0.6868131868131868,0.27472527472527475,0.27472527472527475,0.5494505494505495,0.5494505494505495,0.6868131868131868,0.8241758241758241,0.5494505494505495,0.5082417582417582,0.1947989687379363,0.6289794099462659,0.38750410653725054
16,16,0.41208791208791207,0.27472527472527475,0.6868131868131868,0.27472527472527475,0.27472527472527475,0.5494505494505495,0.5494505494505495,0.6868131868131868,0.9615384615384616,0.5494505494505495,0.521978021978022,0.2224351245694344,0.6598447405295098,0.3841113034265342
17,17,0.41208791208791207,0.27472527472527475,0.8241758241758241,0.27472527472527475,0.41208791208791207,0.5494505494505495,0.5494505494505495,0.6868131868131868,0.9615384615384616,0.6868131868131868,0.5631868131868132,0.2284793946863489,0.7047998091693984,0.42157381720422793
18,18,0.41208791208791207,0.27472527472527475,0.8241758241758241,0.27472527472527475,0.8241758241758241,0.6868131868131868,0.6868131868131868,0.6868131868131868,1.098901098901099,0.6868131868131868,0.6456043956043958,0.25941786582811893,0.8063932546687322,0.4848155365400593
19,19,0.5494505494505495,0.27472527472527475,0.8241758241758241,0.27472527472527475,0.8241758241758241,0.8241758241758241,0.6868131868131868,0.6868131868131868,1.098901098901099,0.6868131868131868,0.6730769230769231,0.2545227492616721,0.8308317574599086,0.5153220886939377
20,20,0.5494505494505495,0.27472527472527475,0.8241758241758241,0.27472527472527475,1.098901098901099,0.9615384615384616,0.8241758241758241,0.6868131868131868,1.2362637362637363,0.6868131868131868,0.7417582417582418,0.3185444529473643,0.9391941391941392,0.5443223443223444
21,21,0.5494505494505495,0.27472527472527475,0.8241758241758241,0.41208791208791207,1.098901098901099,0.9615384615384616,0.8241758241758241,0.6868131868131868,1.2362637362637363,0.6868131868131868,0.7554945054945055,0.298498278626495,0.9405056553619646,0.5704833556270463
22,22,0.5494505494505495,0.41208791208791207,0.8241758241758241,0.41208791208791207,1.098901098901099,1.098901098901099,0.8241758241758241,0.6868131868131868,1.2362637362637363,0.8241758241758241,0.7967032967032968,0.28813429894784387,0.9752907854147413,0.6181158079918522
