,time,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.13736263736263737,0.27472527472527475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041208791208791215,0.09271271397122978,0.09867272667293216,-0.016255144255349727
3,3,0.13736263736263737,0.6868131868131868,0.13736263736263737,0.5494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.1510989010989011,0.2545227492616721,0.3088537354818865,-0.006655933284084314
4,4,0.13736263736263737,1.098901098901099,0.27472527472527475,1.3736263736263736,0.0,0.0,0.0,0.0,0.13736263736263737,0.0,0.3021978021978022,0.5049102106992756,0.6151443930161069,-0.010748788620502603
5,5,0.13736263736263737,1.510989010989011,0.27472527472527475,1.510989010989011,0.0,0.0,0.27472527472527475,0.0,0.8241758241758241,0.0,0.4532967032967033,0.6110536262070784,0.8320316646353298,0.0745617419580768
6,6,0.27472527472527475,1.9230769230769231,0.27472527472527475,1.6483516483516483,0.0,0.27472527472527475,0.27472527472527475,0.0,0.8241758241758241,0.0,0.5494505494505494,0.6974151195846069,0.9817129189456573,0.11718817995544145
7,7,0.41208791208791207,1.9230769230769231,0.27472527472527475,2.197802197802198,0.0,0.5494505494505495,0.41208791208791207,0.0,0.8241758241758241,0.0,0.6593406593406594,0.7872262747376356,1.1472685595123377,0.17141275916898102
8,8,0.41208791208791207,2.197802197802198,0.41208791208791207,2.3351648351648353,0.27472527472527475,0.6868131868131868,0.8241758241758241,0.0,0.9615384615384616,0.13736263736263737,0.8241758241758241,0.8165089056834711,1.3302532870430128,0.31809836130863545
9,9,0.41208791208791207,2.3351648351648353,0.5494505494505495,2.60989010989011,0.27472527472527475,0.8241758241758241,0.8241758241758241,0.13736263736263737,1.3736263736263736,0.13736263736263737,0.9478021978021978,0.8889154092100352,1.498757676505766,0.39684671909862956
10,10,0.41208791208791207,2.4725274725274726,0.5494505494505495,2.60989010989011,0.27472527472527475,0.8241758241758241,0.8241758241758241,0.27472527472527475,1.6483516483516483,0.27472527472527475,1.0164835164835164,0.904695167416005,1.5772193906511736,0.4557476423158593
11,11,0.5494505494505495,2.60989010989011,0.5494505494505495,2.7472527472527473,0.27472527472527475,0.8241758241758241,0.8241758241758241,0.27472527472527475,1.7857142857142858,0.41208791208791207,1.0851648351648353,0.9460420562498131,1.6715277765363092,0.49880189379336126
12,12,0.6868131868131868,2.60989010989011,0.5494505494505495,2.8846153846153846,0.27472527472527475,0.8241758241758241,0.8241758241758241,0.27472527472527475,1.7857142857142858,0.41208791208791207,1.1126373626373627,0.9657808035366064,1.711234506327445,0.5140402189472805
