,time,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.13736263736263737,0.0,0.13736263736263737,0.13736263736263737,0.13736263736263737,0.0,0.0,0.05494505494505495,0.07093376091954977,0.09891025545654789,0.01097985443356201
3,3,0.0,0.13736263736263737,0.0,0.13736263736263737,0.27472527472527475,0.27472527472527475,0.41208791208791207,0.5494505494505495,0.0,0.0,0.17857142857142858,0.19479896873793634,0.2993090802759362,0.05783377686692091
4,4,0.0,0.13736263736263737,0.27472527472527475,0.27472527472527475,0.5494505494505495,0.27472527472527475,0.9615384615384616,1.2362637362637363,0.0,0.27472527472527475,0.3983516483516484,0.4067109522198252,0.6504337081883587,0.14626958851493815
5,5,0.41208791208791207,0.13736263736263737,0.41208791208791207,0.41208791208791207,0.5494505494505495,0.27472527472527475,1.098901098901099,1.9230769230769231,0.0,0.41208791208791207,0.5631868131868132,0.5587206395890696,0.9094854533689238,0.2168881730047026
6,6,0.5494505494505495,0.13736263736263737,0.5494505494505495,0.6868131868131868,0.5494505494505495,0.27472527472527475,1.098901098901099,2.60989010989011,0.0,0.41208791208791207,0.6868131868131868,0.7411361747362017,1.146174147041331,0.22745222658504277
7,7,0.8241758241758241,0.13736263736263737,0.6868131868131868,0.6868131868131868,0.5494505494505495,0.5494505494505495,1.098901098901099,2.8846153846153846,0.0,0.41208791208791207,0.7829670329670331,0.8036986061347114,1.2811045899139326,0.28482947602013353
8,8,1.098901098901099,0.41208791208791207,0.9615384615384616,0.6868131868131868,0.5494505494505495,0.6868131868131868,1.510989010989011,3.2967032967032965,0.0,0.5494505494505495,0.9752747252747254,0.9121954788947247,1.5406593406593407,0.40989010989011
9,9,1.2362637362637363,0.41208791208791207,0.9615384615384616,0.8241758241758241,0.8241758241758241,0.6868131868131868,1.6483516483516483,3.708791208791209,0.0,0.5494505494505495,1.0851648351648353,1.0247616913398077,1.720318711854802,0.4500109584748687
10,10,1.2362637362637363,0.41208791208791207,1.098901098901099,0.8241758241758241,0.8241758241758241,0.6868131868131868,1.9230769230769231,3.8461538461538463,0.0,0.5494505494505495,1.14010989010989,1.0816914009154963,1.8105491663629072,0.4696706138568729
11,11,1.2362637362637363,0.41208791208791207,1.098901098901099,0.8241758241758241,0.8241758241758241,0.9615384615384616,2.197802197802198,4.258241758241758,0.13736263736263737,0.6868131868131868,1.2637362637362637,1.1865955346932744,1.9991957957354183,0.5282767317371092
12,12,1.2362637362637363,0.5494505494505495,1.098901098901099,0.8241758241758241,0.9615384615384616,1.2362637362637363,2.3351648351648353,4.532967032967033,0.5494505494505495,0.6868131868131868,1.401098901098901,1.2162606385262997,2.154945054945055,0.6472527472527472
