Cell 1,Cell 2,edge_state
38,51,0
44,51,0
39,51,0
51,54,0
51,54,0
51,59,0
51,0,0
50,51,0
67,0,1
68,0,0
70,0,0
69,0,0
70,0,0
67,68,1
70,0,0
73,0,0
68,70,0
69,70,1
74,0,1
51,75,0
69,73,1
50,76,0
75,76,1
76,0,0
67,74,1
80,0,0
51,0,0
76,80,1
74,80,0
84,0,0
73,84,1
51,75,1
75,80,1
68,88,0
70,88,0
70,89,1
69,89,0
93,0,0
93,0,0
88,89,1
84,93,0
93,0,0
67,94,0
73,0,0
79,95,0
68,94,0
69,97,0
74,98,1
67,98,1
51,95,0
89,97,0
73,97,0
89,0,0
86,95,0
73,84,0
88,89,1
88,94,1
51,102,0
75,102,0
103,0,0
94,98,1
84,104,1
93,103,1
93,104,1
73,105,1
51,107,0
97,105,1
92,103,0
102,107,0
75,109,0
74,110,0
80,109,0
98,110,1
73,112,0
74,113,0
80,113,0
84,112,1
80,114,1
102,109,0
105,112,1
95,107,1
113,114,1
103,104,0
110,113,1
95,116,1
86,116,0
109,119,1
114,119,1
103,0,0
92,118,0
92,117,0
99,117,0
84,120,1
104,120,1
77,122,0
99,122,0
112,120,1
90,122,0
107,109,0
116,123,1
107,123,1
103,120,1
94,124,0
88,124,0
98,127,1
94,125,0
125,127,1
92,126,0
105,128,1
118,126,1
117,122,1
112,128,1
117,126,0
86,130,0
87,130,0
89,131,0
97,131,0
94,132,0
88,131,0
110,133,1
113,133,0
98,133,1
124,132,1
125,132,0
122,134,0
116,130,1
115,130,0
113,137,1
97,135,0
133,137,0
105,135,0
127,133,1
88,138,0
117,139,0
124,138,1
109,123,0
131,138,1
126,139,0
131,135,1
118,120,0
120,128,1
128,135,1
118,140,1
134,139,0
120,140,1
134,139,0
130,141,0
130,142,1
116,142,0
118,143,0
139,143,1
127,132,0
144,0,1
123,144,1
118,145,1
120,146,1
140,145,1
114,147,1
113,147,0
128,146,1
137,147,0
120,150,1
124,152,0
135,149,0
128,149,0
134,151,0
119,147,0
138,152,1
128,153,1
140,150,0
139,151,1
123,142,1
148,151,0
149,153,1
132,152,1
118,154,1
119,155,1
146,153,1
143,154,1
146,150,0
123,0,0
145,154,1
147,155,0
133,147,0
151,157,0
148,157,0
123,142,0
131,158,1
135,158,1
141,159,0
142,159,1
139,157,1
147,160,0
133,160,1
127,161,0
131,152,0
132,161,0
146,162,0
133,163,0
145,150,0
127,163,0
153,162,0
132,164,0
131,165,0
158,166,0
149,166,1
142,167,0
150,162,1
123,167,0
139,154,0
152,165,0
152,164,0
158,165,1
160,163,1
161,164,1
153,168,1
136,157,0
162,168,0
123,169,0
144,170,1
139,171,1
144,169,0
155,170,1
149,168,0
154,171,1
142,0,0
167,169,1
161,163,0
159,0,1
155,173,0
139,174,1
157,174,1
147,173,0
152,176,0
166,168,0
157,172,0
164,176,1
169,170,1
165,166,1
167,0,0
170,173,1
147,177,0
139,174,0
160,177,1
171,174,1
139,174,0
159,178,1
173,177,0
167,178,0
157,180,0
174,180,0
150,181,1
159,179,0
162,183,0
150,182,0
145,182,0
181,183,0
152,185,0
166,186,0
168,186,1
163,187,1
165,185,0
169,188,1
176,185,0
172,180,0
161,187,0
167,188,0
181,182,1
160,187,0
171,189,0
168,190,1
154,189,0
162,190,1
170,188,1
145,191,0
154,191,1
165,192,1
166,192,0
182,191,1
177,193,0
160,193,1
176,194,0
164,194,0
185,194,1
186,190,0
174,189,0
161,196,0
164,196,1
189,191,1
173,198,0
177,198,1
160,199,0
186,192,0
187,199,1
170,198,1
187,196,1
167,200,1
165,201,0
172,202,0
178,179,0
185,201,1
178,200,1
188,200,0
193,198,0
193,199,1
180,202,1
194,196,1
190,203,0
197,202,0
192,201,0
183,203,1
186,203,0
174,205,1
189,205,0
178,204,0
183,206,0
180,205,1
170,207,0
188,207,0
181,206,1
178,208,1
200,208,0
178,210,0
192,209,1
203,206,0
198,207,1
185,211,1
186,209,0
200,212,0
194,211,1
188,212,0
198,213,1
180,214,0
202,214,1
212,0,1
201,211,0
192,215,1
201,215,1
193,213,1
196,216,0
194,216,0
191,217,0
189,217,1
192,218,0
180,219,1
209,218,1
178,220,0
215,218,1
214,219,1
205,219,0
186,218,0
207,212,1
207,213,0
189,222,1
205,222,1
187,223,0
196,223,0
202,224,0
214,224,0
224,0,0
211,216,0
186,225,1
221,224,0
208,220,0
216,223,1
218,225,1
203,225,0
201,227,0
193,228,1
182,229,0
191,229,1
215,227,1
181,182,0
211,227,0
182,231,1
206,231,0
207,232,0
187,233,0
215,234,1
213,232,1
218,234,1
219,224,1
224,226,0
213,228,0
223,233,1
217,229,1
228,233,1
189,235,0
212,236,1
208,230,0
217,235,1
207,236,0
222,235,0
213,237,1
203,238,1
229,231,0
228,237,1
211,239,0
216,239,1
206,238,0
225,238,0
236,240,0
207,240,0
227,234,0
231,241,1
229,241,1
211,244,0
222,242,0
208,243,0
205,242,1
227,244,1
232,237,1
239,244,0
206,245,1
235,242,1
208,236,1
229,235,0
238,245,0
231,245,0
219,242,1
240,246,1
208,247,1
232,246,0
239,248,1
236,247,0
234,250,0
228,249,1
218,250,1
237,249,1
216,251,1
244,248,1
224,252,0
240,247,0
239,251,0
219,252,0
223,251,0
219,253,0
234,244,0
225,254,1
252,253,0
218,254,0
248,251,1
232,255,1
244,250,0
238,254,0
219,256,0
246,247,0
237,255,0
250,254,0
223,257,1
246,255,0
242,256,0
233,249,0
229,258,0
251,257,1
235,258,0
253,256,1
245,259,1
231,259,1
233,257,0
244,260,1
250,260,0
233,261,1
241,259,1
249,261,0
246,262,0
250,263,0
254,263,1
257,261,0
255,262,1
208,264,0
238,265,1
247,262,1
242,258,0
254,266,1
245,265,1
250,267,1
238,266,1
249,255,1
247,264,0
241,258,1
260,267,0
242,268,1
249,269,1
244,267,0
256,268,1
261,269,0
248,267,1
247,270,1
242,271,0
262,270,0
251,272,1
258,271,1
259,265,1
257,272,1
265,266,0
248,272,1
264,270,0
263,267,0
249,273,1
255,273,0
263,266,1
268,271,0
259,274,0
241,274,0
248,275,1
267,275,1
249,279,0
256,280,1
253,280,1
269,279,0
257,281,0
267,282,1
261,281,0
263,282,1
259,283,0
261,284,0
272,281,1
272,275,0
273,279,1
269,284,0
274,283,1
281,284,1
255,285,0
262,285,0
265,286,0
265,283,0
265,0,0
253,276,0
266,286,0
273,285,0
270,287,0
241,289,0
267,288,1
266,290,1
258,289,0
262,291,0
265,286,1
286,290,1
270,291,0
279,284,0
282,288,0
275,288,0
263,290,0
274,289,0
253,293,0
272,294,1
270,291,0
285,291,1
275,294,1
283,286,0
263,295,0
268,296,1
271,296,0
270,291,0
282,295,0
290,295,1
270,287,0
273,297,1
280,293,0
285,297,0
271,289,1
279,298,1
256,296,1
284,298,0
273,298,0
290,299,1
295,299,0
284,300,1
281,294,0
280,296,0
281,300,1
288,302,0
282,302,0
274,304,0
287,291,0
290,303,1
286,303,1
289,304,0
281,306,1
295,302,0
298,300,0
294,306,0
275,307,0
288,307,1
271,308,0
286,310,0
296,308,1
280,309,0
297,298,0
283,310,0
296,309,0
