Cell 1,Cell 2,edge_state
271,311,0
297,312,0
289,311,1
298,312,0
299,303,1
285,313,0
294,307,1
300,306,0
295,314,0
303,310,1
291,315,0
299,314,1
308,311,1
313,315,0
297,313,0
297,316,0
288,317,0
302,317,1
283,318,0
283,304,0
310,318,0
312,316,1
295,317,0
303,0,0
296,321,0
313,316,0
299,303,0
303,318,1
304,311,0
304,318,0
294,322,1
314,317,1
298,323,0
291,324,0
307,317,0
306,322,0
300,323,1
304,325,0
311,325,1
312,323,0
307,322,0
308,321,0
306,326,0
300,326,0
322,326,0
307,327,1
322,327,0
316,323,0
308,325,1
304,328,0
325,328,0
318,328,0
299,303,0
314,329,0
316,330,0
303,329,1
313,330,0
323,326,0
322,334,0
317,327,0
327,334,0
317,335,0
314,335,0
313,336,0
314,337,0
318,338,0
317,339,1
323,330,0
328,338,1
326,340,1
322,340,0
329,337,1
327,339,0
303,341,0
335,339,0
318,341,0
334,340,1
329,341,0
308,343,0
325,343,0
335,337,1
334,344,0
344,0,1
326,347,0
327,348,1
323,347,0
339,348,0
318,351,0
340,344,0
341,351,0
323,352,0
323,356,0
338,351,0
347,356,0
325,358,0
337,341,1
323,359,0
340,347,0
328,360,0
325,360,0
335,348,0
348,362,1
340,347,0
340,363,1
344,363,0
347,363,0
338,360,0
335,365,0
337,365,0
347,359,0
341,367,0
347,369,0
335,362,0
363,369,0
337,368,1
351,367,0
341,368,0
365,368,0
362,363,0
341,367,0
368,370,0
351,370,0
335,373,0
362,373,0
368,374,0
351,374,0
365,373,0
351,379,0
338,380,0
338,379,0
363,381,0
362,381,0
368,386,0
365,386,0
363,391,0
365,394,0
