Cell 1,Cell 2,edge_state
48,63,0
52,63,0
52,68,0
65,68,0
58,69,0
45,69,0
46,71,0
45,63,0
58,71,0
63,69,0
69,71,0
63,73,0
68,73,0
63,0,0
63,82,0
73,82,0
68,82,0
68,86,0
72,85,0
46,85,0
82,86,0
68,87,0
65,87,0
84,85,0
63,82,1
71,85,0
65,88,0
86,87,1
61,89,0
87,88,0
61,89,0
88,89,0
69,82,1
89,0,0
82,96,0
86,96,1
85,90,0
71,99,0
100,0,0
69,99,0
90,101,0
89,100,0
85,99,0
94,101,0
85,101,0
86,102,1
96,102,0
69,104,0
87,102,0
82,104,0
99,104,0
94,105,0
106,0,0
93,105,0
101,105,0
85,107,0
100,0,0
87,108,1
100,106,1
99,107,1
89,100,0
88,108,0
102,108,0
96,104,1
101,107,0
88,110,0
88,111,0
108,110,1
112,0,0
104,107,0
88,113,0
106,112,1
89,113,1
111,113,1
110,111,1
98,105,0
107,114,0
102,115,0
96,116,1
108,115,0
104,114,0
104,116,0
89,117,0
105,107,0
113,117,1
102,116,0
89,118,0
110,115,0
100,118,0
105,120,0
119,0,0
117,118,1
100,118,0
106,118,0
107,120,0
121,0,1
112,119,1
110,111,0
111,0,0
111,0,0
98,120,0
115,122,0
111,117,0
112,118,0
102,122,0
116,121,0
110,122,0
111,0,0
114,120,0
98,124,0
118,0,0
102,125,0
98,124,0
116,125,1
114,127,0
122,125,0
98,124,0
104,127,0
118,0,1
121,128,0
104,128,0
116,128,0
118,129,0
112,129,0
98,120,0
110,130,0
110,131,0
120,0,0
122,130,0
112,119,0
111,131,0
132,0,0
130,131,0
111,134,1
120,124,0
127,128,0
122,133,0
112,119,0
119,132,1
125,133,0
117,134,0
124,135,0
131,134,0
130,133,0
117,136,0
118,137,0
118,136,0
117,138,0
118,137,0
134,138,0
112,139,0
114,140,0
120,142,0
136,137,0
129,139,1
124,142,0
120,140,0
127,140,1
119,139,0
140,142,0
124,0,0
136,138,1
124,141,0
128,146,0
128,147,0
127,147,0
116,146,0
132,0,0
131,138,0
119,132,1
124,148,0
146,147,0
137,0,0
124,149,0
136,137,0
116,150,0
140,147,0
124,149,0
133,151,0
142,149,1
146,150,0
130,151,0
118,152,0
118,152,0
153,0,1
132,153,0
125,150,1
125,154,0
133,154,0
137,152,0
118,155,0
152,155,0
129,155,0
119,157,0
132,157,0
151,154,0
124,159,0
140,160,0
119,161,0
139,161,0
142,162,1
147,160,0
157,161,0
130,164,0
129,163,0
140,162,0
138,0,0
151,164,0
139,163,0
149,159,0
147,150,0
150,154,0
137,138,0
138,164,0
142,0,0
154,0,0
142,149,0
155,163,0
160,162,0
143,165,0
143,165,0
154,166,0
150,166,1
164,168,0
138,168,0
154,166,0
157,170,0
132,170,0
132,0,0
165,169,0
154,171,0
138,172,0
163,173,0
149,174,0
151,171,0
168,172,0
142,174,0
155,173,0
139,173,1
138,177,0
151,168,0
161,170,0
137,177,0
132,170,0
153,176,0
162,174,0
137,178,0
166,171,0
172,177,0
153,170,0
167,174,0
177,178,1
178,180,0
152,180,0
155,173,0
160,0,0
171,181,0
150,182,0
151,181,0
166,182,0
155,173,0
176,183,0
162,186,0
151,184,0
139,185,0
143,183,0
153,183,0
159,174,0
160,186,0
147,187,0
168,184,1
150,187,0
173,185,0
161,185,0
166,181,0
162,188,0
181,184,0
160,187,0
181,182,0
152,190,0
155,190,0
174,188,0
173,0,0
186,188,0
160,192,0
186,192,0
180,190,0
173,0,0
173,190,0
170,185,0
173,0,0
143,193,0
182,187,1
160,187,0
183,193,0
188,192,0
153,194,0
170,194,1
160,187,0
187,0,0
183,196,0
174,197,0
187,192,0
193,196,0
188,197,0
153,199,1
165,193,0
174,198,0
172,200,0
194,199,0
177,200,0
182,201,0
181,202,0
181,201,0
184,202,0
174,198,0
172,204,0
168,204,0
173,205,0
183,199,0
168,202,1
185,207,0
170,207,0
190,205,0
174,198,0
200,204,0
178,200,1
174,209,0
197,209,0
188,209,0
173,205,0
196,210,0
193,210,0
168,211,0
192,212,0
180,200,0
188,213,0
196,199,0
187,212,0
204,211,0
201,218,1
173,214,0
193,215,1
192,213,0
165,215,1
202,218,0
174,198,0
180,216,1
185,214,0
170,217,0
207,217,0
190,216,0
202,219,0
210,215,0
187,220,0
209,213,0
182,220,0
168,211,0
205,214,0
198,209,0
211,219,0
200,216,0
190,221,0
169,222,0
216,221,0
206,222,0
185,217,0
165,222,0
182,224,0
218,219,0
201,224,0
194,217,0
215,226,0
187,225,0
210,226,1
212,225,0
220,224,1
218,224,0
211,227,1
204,227,0
212,213,0
211,227,0
185,228,0
205,221,0
219,227,0
217,228,0
199,229,0
196,229,0
220,225,0
227,0,0
204,231,0
209,230,0
200,231,1
213,232,0
185,233,0
209,232,0
200,234,0
214,233,0
216,234,0
228,233,0
227,231,0
215,222,0
212,232,0
210,229,1
226,236,0
215,226,0
210,236,1
194,237,0
215,239,0
224,238,0
220,238,0
217,233,0
236,239,0
221,234,0
199,237,0
231,234,0
217,237,0
218,238,1
221,241,0
205,241,0
205,242,0
219,243,0
214,242,0
227,243,0
209,244,0
231,245,0
214,246,0
222,240,0
234,245,0
233,246,0
232,244,0
227,243,1
241,242,0
243,0,0
229,247,0
210,247,0
221,241,0
215,248,0
225,232,0
222,248,0
241,0,0
229,237,0
239,248,0
222,248,0
221,241,0
242,246,0
218,250,0
241,0,0
222,248,1
232,244,0
243,250,0
227,251,0
231,251,0
238,250,0
227,252,0
221,253,0
232,244,0
242,254,0
247,255,0
236,255,0
243,252,1
234,253,0
241,254,0
245,251,1
241,253,0
217,256,0
251,252,0
233,256,0
217,257,0
232,258,0
225,258,0
225,259,0
241,261,0
237,257,1
220,259,0
246,256,0
246,254,0
243,260,0
241,261,0
241,261,0
220,263,0
252,260,0
254,261,1
250,260,0
238,263,0
241,0,0
229,265,0
237,265,0
236,266,0
239,266,0
259,263,1
241,253,0
250,263,0
234,267,0
256,257,0
247,265,1
251,260,0
245,267,0
253,267,0
255,266,0
232,268,0
251,269,1
245,269,0
258,268,0
253,261,0
255,271,0
248,266,0
245,272,0
225,273,0
266,271,1
254,274,0
258,273,1
246,274,0
259,273,0
269,272,1
267,272,0
253,276,0
257,277,0
260,269,0
256,277,0
222,275,0
267,276,0
250,278,0
260,278,0
267,0,0
257,279,1
237,279,0
250,280,0
256,274,0
265,271,0
263,0,1
253,281,0
261,282,1
254,282,0
248,283,0
222,283,0
258,284,0
260,285,0
261,281,1
256,286,0
269,285,0
267,272,1
277,286,0
277,279,0
266,283,0
278,280,0
265,279,0
276,281,0
269,291,0
222,288,0
274,282,0
278,292,0
260,292,0
272,291,1
283,288,0
259,293,0
280,292,1
273,293,0
258,294,0
285,292,0
285,291,1
266,296,0
271,297,1
272,276,0
283,296,0
266,297,0
273,294,0
265,298,0
281,282,1
271,298,0
263,293,0
277,299,0
276,300,0
286,299,1
281,300,0
279,299,0
274,282,0
274,282,0
256,286,0
274,302,0
283,304,0
288,304,0
286,302,0
296,297,0
293,305,0
282,306,0
297,298,0
281,306,0
303,304,0
285,308,0
292,308,0
283,309,0
297,313,0
280,310,0
296,309,0
285,311,0
296,313,0
291,311,0
276,312,0
304,309,0
292,310,0
272,312,0
300,306,0
272,311,0
293,316,0
297,313,0
273,315,0
300,312,1
286,317,0
308,311,0
305,316,1
305,310,0
302,317,0
265,318,0
293,315,0
279,318,0
274,306,0
299,317,0
311,312,0
298,319,0
292,320,0
297,319,0
310,320,1
308,320,1
309,313,1
315,316,0
318,319,0
297,309,0
303,309,0
311,321,1
312,321,0
274,322,0
297,324,0
306,323,0
274,323,0
309,325,0
319,324,0
300,326,0
302,322,0
306,326,0
322,323,0
309,324,0
299,318,0
308,311,0
311,0,0
300,321,0
317,327,0
299,327,0
300,330,1
299,331,0
326,330,0
321,332,0
300,332,0
323,326,0
302,327,0
318,331,0
305,333,0
310,333,1
308,334,1
327,331,0
330,332,0
311,334,0
318,335,0
319,335,0
311,337,1
321,337,1
316,338,0
316,333,0
305,333,0
324,335,0
324,339,0
309,339,0
310,333,0
331,340,0
333,0,0
318,340,0
302,342,0
333,345,1
308,345,0
327,342,0
322,346,1
302,346,0
309,347,0
326,348,0
333,0,0
334,345,0
330,348,0
327,340,0
325,347,0
318,349,0
335,349,0
339,347,0
332,337,0
324,349,0
333,338,0
322,350,0
334,337,0
332,348,0
323,348,0
323,350,0
342,346,0
340,352,1
318,352,0
346,350,0
334,354,0
337,354,0
337,355,1
332,355,0
340,342,0
349,352,0
347,356,0
345,0,0
348,355,0
323,358,1
354,355,0
350,358,1
348,358,0
349,360,0
324,360,0
347,361,0
339,0,1
354,363,0
333,362,0
345,362,0
355,363,0
350,364,0
346,364,0
339,360,0
345,365,0
354,365,0
358,0,0
348,358,1
342,367,0
340,352,0
333,362,0
355,368,0
348,368,0
346,367,0
333,370,0
345,362,0
352,371,0
349,371,0
352,367,0
349,372,0
363,365,0
350,373,0
364,367,0
371,372,0
364,373,0
360,372,0
350,375,0
333,376,0
358,375,0
339,379,0
339,377,0
347,377,0
375,0,0
360,379,0
339,377,0
373,375,0
333,380,0
377,379,0
355,381,0
362,365,0
367,383,0
358,384,0
368,381,1
352,383,0
368,384,1
363,381,0
360,379,0
375,384,0
379,0,0
360,371,0
367,373,0
363,390,0
383,392,1
371,392,0
375,391,1
373,383,1
381,390,0
373,391,0
379,393,0
365,394,0
363,394,0
371,395,0
360,395,0
365,398,0
381,399,0
381,405,0
392,395,0
373,401,0
360,402,0
384,403,0
384,391,0
383,401,0
379,402,0
395,402,0
391,401,0
384,411,0
391,411,0
392,412,0
383,412,0
395,412,0
379,414,0
395,417,0
383,418,0
401,418,0
401,423,0
391,423,0
391,426,0
