Cell, Cell, Area (µm²)
3475,4014,47.2731
3475,3751,33.8496
3475,3737,36.2114
3475,3619,12.047
3475,3864,21.2665
3475,3569,6.63697
3475,3813,8.53035
3475,4029,0.833921
3475,4026,0.239075
1099,1697,18.881
1099,1431,8.75887
1099,1409,4.79971
1099,1394,56.1232
1098,1725,8.06378
1098,1695,24.4682
1098,1681,28.5107
1098,1621,12.5131
1098,1600,13.3105
1098,1582,6.47606
1098,1460,14.9431
1098,1371,10.8234
1098,2036,0.0879899
1098,1222,16.8606
1098,1211,17.6676
1097,1146,17.3035
1097,1112,13.4062
1097,1674,0.320621
1097,1655,42.1396
1097,1443,14.0607
1097,1255,18.6956
1097,1243,4.58088
1096,1910,1.75822
1096,1753,14.1946
1096,1564,3.85583
1096,1460,81.9902
1096,1428,30.5734
1096,1371,1.79164
1096,1253,3.8062
1096,1222,3.23684
1095,1907,24.8338
1095,1766,3.93114
1095,1652,15.4042
1095,1458,37.656
1095,1402,66.888
1095,2072,54.5921
1095,1169,50.5038
3480,3540,0.139241
1928,2416,22.4187
1928,2243,12.4829
1928,2230,4.44349
1928,2206,19.3302
1928,2075,19.59
1928,2039,10.8824
3473,3797,6.26231
3473,4329,1.29188
3473,3985,12.4041
3473,4172,19.7584
3473,3970,27.2194
3473,4287,0.60344
3473,3666,46.7263
3473,3617,29.5342
3473,3861,26.5619
3473,3537,6.36524
3473,3828,5.56143
3473,3489,4.20361
3472,4013,6.42752
3472,3984,18.1936
3472,3697,31.5967
3472,4286,0.170194
3472,4121,15.1642
3472,3918,8.78041
3472,4275,19.4371
3472,3603,13.9646
3472,3490,9.89453
1088,1114,14.55
1088,1099,18.7323
1088,1884,1.77606
1088,1724,35.1854
1088,1623,8.92978
1088,1431,65.4316
1088,1394,17.3084
1088,1373,0.0341701
1088,1291,0.0444747
1088,1235,5.64495
1088,1234,8.38921
4200,4553,14.7776
4200,4627,8.43371
4200,4318,7.70132
4200,4611,16.5699
4200,4275,0.17892
4200,4576,27.273
4200,4680,12.8694
4200,4628,1.07461
1086,1097,2.76394
1086,1580,22.2792
1086,1443,9.91533
1086,1298,12.4185
1086,1277,32.217
1086,1255,15.6303
1086,1243,18.9021
3794,4543,1.93952
3794,5312,0.488202
3794,4002,83.3226
3794,3985,8.73135
3794,4172,4.69903
3794,4155,35.6762
3794,4047,10.4632
3794,4354,11.0945
3794,4353,17.8053
3794,4029,0.0346574
1084,1144,5.10559
1084,1095,13.3334
1084,1458,85.8677
1084,1402,5.85319
1084,1326,4.4269
1083,1145,19.5967
1083,1544,49.5743
1083,1486,17.1367
1083,1392,9.76555
1083,1348,5.29432
1083,1272,3.79225
1083,1232,12.6968
1083,1171,3.48291
3791,3953,43.4374
3791,4501,30.3256
3791,3898,13.9939
3791,3861,3.14092
3791,3824,6.23739
3790,4200,30.1573
3790,4001,11.7881
3790,4152,15.5908
3790,4121,6.21169
3790,3917,29.9705
3790,3860,9.44838
3790,4056,6.95573
1895,2438,8.94317
1895,2372,8.17388
1895,2164,7.1163
1895,2078,24.2777
1895,2039,25.9574
1895,2036,4.47054
3463,3783,16.0478
3463,3739,0.112236
3463,3653,4.46838
3463,3605,13.5606
3463,3812,32.872
3463,3492,3.66989
1078,1581,22.9794
1078,1442,40.2323
1078,1291,15.1448
1078,1290,5.71667
1076,1426,25.8669
1076,1392,2.35105
1076,1272,35.3617
4014,5308,42.2029
4014,4277,0.0384602
4014,4261,65.0424
4014,4354,13.5538
4014,4029,11.3875
4014,4026,3.29325
1891,1910,43.624
1891,2429,14.8712
1891,2959,3.4902
1891,2931,0.124055
1891,2869,0.382437
1891,2255,26.0924
1891,2175,36.8394
1891,2762,1.67391
1891,2135,55.6457
1891,2066,24.4829
1891,2606,39.0822
4013,4319,5.28585
4013,4427,10.0741
4013,4141,21.1529
4013,4371,13.8422
4013,4062,14.4222
2524,3092,12.7418
2524,2558,5.82701
2524,3010,2.87694
2524,2905,17.4867
2524,2808,6.57438
2524,2699,11.2242
2524,2679,35.7279
2524,2586,4.76894
2523,2556,14.684
2523,3068,13.5404
2523,2962,22.6853
2523,2752,30.4101
2523,2751,9.27704
2523,2659,8.76011
2523,2638,35.8957
2522,3081,11.3893
2522,2552,13.6132
2522,2551,38.6571
2522,2937,24.5733
2522,2936,9.58479
2522,2933,9.98476
2522,3347,0.329763
2522,2807,51.4084
2522,2733,0.109816
2522,2586,1.78971
2521,3068,6.74489
2521,2993,6.02317
2521,5272,11.491
2521,5261,14.9767
2521,3195,47.038
2521,2672,8.44458
2521,2660,6.30488
2521,2659,41.3204
2521,2638,6.83161
2521,2633,28.0991
1885,1895,2.84103
1885,2439,0.12928
1885,2164,16.4829
1885,2077,9.19231
1885,2078,16.1613
1884,2294,16.5868
1884,2273,14.5089
1884,2162,6.16819
1884,2090,34.8616
1884,2037,22.5547
1883,2551,1.63259
1883,1910,0.750204
1883,2135,31.9164
1883,2113,35.5131
1883,2075,3.68697
1883,2074,87.6209
1883,1955,20.4717
2520,2550,5.07145
2520,2983,6.54214
2520,2899,23.3683
2520,2724,10.1073
2520,2608,18.1072
1881,1910,0.165686
1881,2517,6.77463
1881,3033,0.287637
1881,2217,31.2165
1881,2065,13.8169
1881,2033,48.7756
1881,2032,75.6331
1881,2635,4.19716
1881,1955,82.2473
4198,4318,10.104
4198,4317,17.0235
4198,4284,12.3562
4198,4628,0.134915
3044,3083,38.9002
3044,3699,11.0767
3044,3352,6.78018
3044,3332,10.7076
3044,3669,8.04898
3044,3116,11.0819
3044,3115,14.9622
1879,1937,8.41162
1879,1936,51.1913
1879,2288,16.9991
1879,2062,31.601
2517,3033,63.8669
2517,2931,0.53947
2517,2762,5.54774
2517,2748,21.883
2517,3190,36.8878
2517,2635,17.2239
2516,3696,9.44724
2516,2895,50.1169
2516,2872,13.8495
2516,2870,26.8738
2516,2709,2.27619
1056,1132,15.5305
1056,1409,17.4286
1056,1394,10.8267
1056,1385,11.8063
1056,1175,7.53841
2515,2516,18.807
2515,3749,0.0692093
2515,3956,27.2369
2515,2870,60.7368
2515,2869,6.45607
2515,3319,7.22792
2515,3278,24.6512
2515,3188,21.2777
2515,3183,18.627
2515,2630,26.406
2515,2602,0.188495
2515,3505,9.05311
1053,1078,58.382
1053,1599,0.683792
1053,1581,29.6381
1053,1291,5.46742
1053,1234,37.7351
1052,1130,24.3922
1052,1473,11.735
1052,1254,56.8053
1051,1146,11.448
1051,1076,8.73803
1051,1653,23.5326
1051,1618,9.13053
1051,1578,20.4587
1051,1577,5.72741
1051,1509,6.58805
1051,1426,9.13755
1051,1272,11.0297
1051,1221,21.8812
2514,2550,2.64755
2514,2547,15.5775
2514,3007,6.06413
2514,3006,31.3563
2514,2763,28.7005
2514,2604,9.4521
2514,2583,34.9806
3043,3432,25.7502
3043,3195,24.3309
3043,3165,11.717
3043,3146,29.9788
3043,3492,6.95053
