,time,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,mean,std,upper,lower
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3516998827667057,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.05158264947245018,0.08259137836836682,0.07447581156748209,0.028689487377418266
2,2,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.07971864009378661,0.09891021979724267,0.10713515425552123,0.052302125932051996
3,3,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.11723329425556858,0.0,0.3516998827667057,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.5861664712778429,0.23446658851113716,0.0,0.23446658851113716,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.12895662368112543,0.1302658615483507,0.16506447831184054,0.09284876905041031
4,4,0.11723329425556858,0.0,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.3516998827667057,0.0,0.11723329425556858,0.0,0.46893317702227433,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.5861664712778429,0.3516998827667057,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.7033997655334114,0.23446658851113716,0.23446658851113716,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.11723329425556858,0.46893317702227433,0.23446658851113716,0.17819460726846426,0.16278818127915412,0.2233171890052341,0.13307202553169442
5,5,0.11723329425556858,0.0,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.0,0.23446658851113716,0.23446658851113716,0.3516998827667057,0.0,0.11723329425556858,0.0,0.5861664712778429,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.5861664712778429,0.5861664712778429,0.11723329425556858,0.0,0.0,0.11723329425556858,0.23446658851113716,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.7033997655334114,0.23446658851113716,0.23446658851113716,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.23446658851113716,0.46893317702227433,0.3516998827667057,0.20398593200468937,0.17693915052161704,0.25303096229564864,0.1549409017137301
6,6,0.11723329425556858,0.11723329425556858,0.46893317702227433,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.23446658851113716,0.3516998827667057,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.46893317702227433,0.0,0.23446658851113716,0.3516998827667057,0.46893317702227433,0.0,0.11723329425556858,0.0,0.5861664712778429,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.5861664712778429,0.5861664712778429,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.23446658851113716,0.11723329425556858,0.3516998827667057,0.0,0.23446658851113716,0.23446658851113716,0.7033997655334114,0.23446658851113716,0.23446658851113716,0.46893317702227433,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.23446658851113716,0.5861664712778429,0.46893317702227433,0.24853458382180552,0.18443677639170933,0.29965784997421724,0.1974113176693938
7,7,0.11723329425556858,0.11723329425556858,0.46893317702227433,0.11723329425556858,0.3516998827667057,0.23446658851113716,0.23446658851113716,0.46893317702227433,0.3516998827667057,0.11723329425556858,0.3516998827667057,0.11723329425556858,0.5861664712778429,0.0,0.23446658851113716,0.3516998827667057,0.46893317702227433,0.0,0.11723329425556858,0.0,0.7033997655334114,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.23446658851113716,0.5861664712778429,0.5861664712778429,0.11723329425556858,0.23446658851113716,0.0,0.23446658851113716,0.23446658851113716,0.11723329425556858,0.3516998827667057,0.0,0.46893317702227433,0.3516998827667057,0.82063305978898,0.3516998827667057,0.3516998827667057,0.5861664712778429,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.23446658851113716,0.82063305978898,0.46893317702227433,0.283704572098476,0.21328070953064268,0.3428229686125911,0.22458617558436086
8,8,0.23446658851113716,0.11723329425556858,0.46893317702227433,0.23446658851113716,0.3516998827667057,0.23446658851113716,0.23446658851113716,0.5861664712778429,0.3516998827667057,0.11723329425556858,0.46893317702227433,0.11723329425556858,0.5861664712778429,0.0,0.23446658851113716,0.5861664712778429,0.46893317702227433,0.0,0.11723329425556858,0.11723329425556858,0.7033997655334114,0.23446658851113716,0.3516998827667057,0.0,0.23446658851113716,0.0,0.11723329425556858,0.3516998827667057,0.7033997655334114,0.5861664712778429,0.3516998827667057,0.3516998827667057,0.0,0.23446658851113716,0.3516998827667057,0.23446658851113716,0.46893317702227433,0.0,0.5861664712778429,0.3516998827667057,0.82063305978898,0.3516998827667057,0.3516998827667057,0.5861664712778429,0.11723329425556858,0.46893317702227433,0.46893317702227433,0.23446658851113716,0.9378663540445487,0.46893317702227433,0.3329425556858148,0.22514175014980484,0.3953486649233955,0.27053644644823416
9,9,0.23446658851113716,0.11723329425556858,0.46893317702227433,0.23446658851113716,0.46893317702227433,0.3516998827667057,0.23446658851113716,0.5861664712778429,0.3516998827667057,0.23446658851113716,0.46893317702227433,0.11723329425556858,0.7033997655334114,0.0,0.23446658851113716,0.5861664712778429,0.46893317702227433,0.0,0.11723329425556858,0.23446658851113716,0.82063305978898,0.23446658851113716,0.3516998827667057,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.3516998827667057,0.3516998827667057,0.82063305978898,0.5861664712778429,0.3516998827667057,0.3516998827667057,0.0,0.3516998827667057,0.46893317702227433,0.23446658851113716,0.46893317702227433,0.0,0.5861664712778429,0.46893317702227433,0.82063305978898,0.3516998827667057,0.3516998827667057,0.7033997655334114,0.11723329425556858,0.46893317702227433,0.7033997655334114,0.23446658851113716,0.9378663540445487,0.46893317702227433,0.37280187573270807,0.2328942181104941,0.4373568594553352,0.30824689201008093
