,time,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,mean,std,upper,lower
10,10,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.03751465416178194,0.06010503582289855,0.054174920100004055,0.020854388223559832
11,11,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.03985932004689332,0.06533716028514877,0.05796985689452494,0.0217487831992617
12,12,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.04220398593200469,0.06597794541481229,0.06049213935573999,0.023915832508269383
13,13,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.04454865181711606,0.07448452841379026,0.06519470974998634,0.023902593884245774
14,14,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.05392731535756154,0.08276100553077095,0.07686749570318274,0.03098713501194034
15,15,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.060961313012895646,0.08618107740926885,0.0848494889173499,0.03707313710844139
16,16,0.0,0.0,0.23446658851113716,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.06565064478311838,0.0891250021480494,0.0903548349928417,0.04094645457339506
17,17,0.0,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.0726846424384525,0.09139349287986771,0.09801762619855064,0.04735165867835437
18,18,0.0,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.0,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.0726846424384525,0.09139349287986771,0.09801762619855064,0.04735165867835437
19,19,0.0,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.08440797186400935,0.0887465503231738,0.10900726057985767,0.059808683148161026
20,20,0.0,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.08675263774912073,0.09114764578253409,0.11201747617055229,0.06148779932768918
21,21,0.11723329425556858,0.0,0.23446658851113716,0.0,0.0,0.11723329425556858,0.0,0.0,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.0,0.0,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.11723329425556858,0.0,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.11723329425556858,0.23446658851113716,0.0,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.11723329425556858,0.0,0.0,0.3516998827667057,0.0,0.11723329425556858,0.23446658851113716,0.23446658851113716,0.0,0.09378663540445484,0.08862004056488328,0.11835085740437755,0.06922241340453213
