,p,mse_p
0,0.00027,86.01
1,0.00027499999999999996,85.72
2,0.00028,84.44
3,0.000285,53.35
4,0.00029,44.32
5,0.00029499999999999996,45.54
6,0.0003,88.65
7,0.000305,59.99
8,0.00031,58.15
9,0.00031499999999999996,73.45
10,0.00031999999999999997,100.67
