Cell 1,Cell 2,edge_state
51,75,1
51,95,0
51,102,0
51,107,0
67,68,1
67,74,1
67,94,0
67,98,1
68,70,0
68,88,0
68,94,0
69,70,1
69,73,1
69,89,0
69,97,0
70,88,0
70,89,1
73,84,1
73,97,0
73,105,1
73,112,0
74,80,0
74,98,1
74,110,0
74,113,0
75,76,1
75,80,1
75,102,0
75,109,0
76,80,1
80,109,0
80,113,0
80,114,1
84,93,0
84,104,1
84,112,1
84,120,1
88,89,1
88,94,1
88,124,0
88,131,0
88,138,0
89,97,0
89,131,0
93,103,1
93,104,1
94,98,1
94,124,0
94,125,0
94,132,0
95,107,1
95,116,1
97,105,1
97,131,0
97,135,0
98,110,1
98,127,1
98,133,1
102,107,0
102,109,0
103,104,0
103,120,1
104,120,1
105,112,1
105,128,1
105,135,0
107,109,0
107,123,1
109,119,1
109,123,0
110,113,1
110,133,1
112,120,1
112,128,1
113,114,1
113,133,0
113,137,1
113,147,0
114,119,1
114,147,1
116,123,1
116,130,1
116,142,0
117,122,1
117,126,0
117,139,0
118,120,0
118,126,1
118,140,1
118,143,0
118,145,1
118,154,1
119,147,0
119,155,1
120,128,1
120,140,1
120,146,1
120,150,1
123,142,1
123,144,1
123,167,0
123,169,0
124,132,1
124,138,1
124,152,0
125,127,1
125,132,0
126,139,0
127,132,0
127,133,1
127,161,0
127,163,0
128,135,1
128,146,1
128,149,0
128,153,1
130,142,1
131,135,1
131,138,1
131,152,0
131,158,1
131,165,0
132,152,1
132,161,0
132,164,0
133,137,0
133,147,0
133,160,1
133,163,0
135,149,0
135,158,1
137,147,0
138,152,1
139,143,1
139,151,1
139,154,0
139,157,1
139,171,1
139,174,1
140,145,1
140,150,0
142,159,1
142,167,0
143,154,1
144,169,0
144,170,1
145,150,0
145,154,1
145,182,0
145,191,0
146,150,0
146,153,1
146,162,0
147,155,0
147,160,0
147,173,0
147,177,0
149,153,1
149,166,1
149,168,0
150,162,1
150,181,1
150,182,0
151,157,0
152,164,0
152,165,0
152,176,0
152,185,0
153,162,0
153,168,1
154,171,1
154,189,0
154,191,1
155,170,1
155,173,0
157,174,1
157,180,0
158,165,1
158,166,0
159,178,1
160,163,1
