Cell 1,Cell 2,edge_state
63,69,0
63,82,1
68,82,0
68,86,0
68,87,0
69,71,0
69,82,1
69,99,0
69,104,0
71,85,0
71,99,0
82,86,0
82,96,0
82,104,0
85,99,0
85,101,0
85,107,0
86,87,1
86,96,1
86,102,1
87,88,0
87,102,0
87,108,1
88,89,0
88,108,0
88,110,0
88,111,0
88,113,0
89,100,0
89,113,1
89,117,0
89,118,0
96,102,0
96,104,1
96,116,1
99,104,0
99,107,1
100,106,1
100,118,0
101,105,0
101,107,0
102,108,0
102,115,0
102,116,0
102,122,0
102,125,0
104,107,0
104,114,0
104,116,0
104,127,0
104,128,0
105,107,0
105,120,0
106,112,1
106,118,0
107,114,0
107,120,0
108,110,1
108,115,0
110,111,1
110,115,0
110,122,0
110,130,0
110,131,0
111,113,1
111,117,0
111,131,0
111,134,1
112,118,0
112,119,1
112,129,0
112,139,0
113,117,1
114,120,0
114,127,0
114,140,0
115,122,0
116,121,0
116,125,1
116,128,0
116,146,0
116,150,0
117,118,1
117,134,0
117,136,0
117,138,0
118,129,0
118,136,0
118,137,0
118,152,0
118,155,0
119,132,1
119,139,0
119,157,0
119,161,0
120,124,0
120,140,0
120,142,0
121,128,0
122,125,0
122,130,0
122,133,0
124,142,0
124,149,0
125,133,0
125,150,1
125,154,0
127,128,0
127,140,1
127,147,0
128,146,0
128,147,0
129,139,1
129,155,0
129,163,0
130,131,0
130,133,0
130,151,0
130,164,0
131,134,0
131,138,0
132,153,0
132,157,0
132,170,0
133,151,0
133,154,0
134,138,0
136,137,0
136,138,1
137,138,0
137,152,0
137,177,0
137,178,0
138,164,0
138,168,0
138,172,0
138,177,0
139,161,0
139,163,0
139,173,1
139,185,0
140,142,0
140,147,0
140,160,0
140,162,0
142,149,1
142,162,1
142,174,0
146,147,0
146,150,0
147,150,0
147,160,0
147,187,0
149,174,0
150,154,0
150,166,1
150,182,0
150,187,0
151,154,0
151,164,0
151,168,0
151,171,0
151,181,0
151,184,0
152,155,0
152,180,0
152,190,0
153,170,0
153,183,0
153,194,0
153,199,1
154,166,0
154,171,0
155,163,0
155,173,0
155,190,0
157,161,0
157,170,0
160,162,0
160,186,0
160,187,0
160,192,0
161,170,0
161,185,0
162,174,0
162,186,0
162,188,0
163,173,0
164,168,0
165,193,0
165,215,1
165,222,0
166,171,0
166,181,0
166,182,0
168,172,0
168,184,1
168,202,1
168,204,0
168,211,0
170,185,0
170,194,1
170,207,0
170,217,0
171,181,0
172,177,0
172,200,0
172,204,0
173,185,0
173,190,0
173,205,0
173,214,0
174,188,0
174,209,0
177,178,1
177,200,0
178,180,0
178,200,1
180,190,0
