,p,mse_p
0,0.00028,54.32
1,0.000281,50.58
2,0.000282,57.62
3,0.000283,44.95
4,0.000284,53.08
5,0.000285,59.72
6,0.000286,43.42
7,0.000287,53.51
8,0.000288,52.08
9,0.000289,60.37
10,0.00029,41.28
11,0.000291,52.84
12,0.000292,61.2
13,0.000293,49.02
14,0.000294,43.52
15,0.000295,94.11
16,0.000296,44.02
17,0.000297,45.86
18,0.000298,98.99
19,0.000299,87.68
